text,sentiment,negative_reason
"Every time I close my eyes, my brain starts thinking about O’Toole and Kenney apparently having some sort of arrangement to aid the CPC’s election prospects that actually cost Canadians their lives. It’s devastating to my sense of … well, everything.",negative,scandal
"Who wanted this election again? Erin O'Toole? Jagmeet Singh? Canadians? Who triggered it on Aug. 15, 3 days after the Public Health Agency of Canada said we were in the 4th wave of the pandemic? Who hasn't given a coherent reason for why he called it? Thinking .. thinking ... 🤔",negative,calling election early
"#ThrowbackThursday to federal election debate night in 2019, when I was ready in my tie 🤗  It just so happens it's #Election2021 debate night tonight - I'm ready to jump in if anyone talks about taxing cookies! 🇨🇦 #vote #Canada #Cdnpoli  https://t.co/lzGqpD1K8O",positive,
"I've felt for some time that confidence in which party has the best instincts about dealing with the pandemic will settle a lot of votes this election.  Canadians have consistently seen caution, w masks, vaccines, limits on movement, as the only way to finish it.",positive,
This election is about who has kept Canadians healthy and alive. It's about where Canada is going. It's about what we want Canada to be.  This Liberal government has proven they can protect Canadians. They have shown us their vision and have the team needed to move Canada forward,positive,
"Never mind the numerous opinion polls that favour the Conservatives.  Never mind the Conservative cheerleading from Canada’s bought and paid-for news media.  Advance polls open today and are open until Mon., Sept. 13.  Election Day is on Mon., Sept. 20.  Get out and vote!",positive,
I misspoke earlier about We 'scandal' -  the Ethics Commissioner cleared PMJT of any wrongdoing - but the way that #OToole &amp; #Singh targeted a woman who has mental illness &amp; speaks on the topic to help others in order to score political points says enough about their character.,negative,scandal
"Voting? I want to hear about it!   My team and I love hearing stories from Canadians about why they're choosing better this election. That's what motivates us to keep moving forward.  When you cast your vote, text me or tag me on social to let me know!   📲 613-801-8210  https://t.co/3YFExObzG0",positive,
"CANADA, as an unjabbed Canadian I am having issues with this election. Many of my friends are jabbed. How do I deal with these people that are voting for a party that supports the passport? They are voting for someone that wants to limit my freedom.  Vote PPC please.",negative,covid 
"Fellow Canadians, it appears that there are ridings in this free country that have ""forgotten"" to include a PPC candidate on the ballot. PLEASE, everyone, if possible wait until election day to vote so that the Party is able to look into this matter fully! #VotePPC",negative,tell lies
Canadian election is getting interesting.  Looks like @JustinTrudeau screwed up on timing. It's a neck and neck race now with his unknown opposition. I'm playing it by going long the #canadian $ &amp; If @cafreeland  is out its great for the #Canadian economy and you want to be long!,positive,
"ONE CANADIAN wants an election TRUDEAU! Liberals have no National Purpose ever..O’Toole wants to get Canada back on track, he cares about all Canadians! Go ⁦@erinotoole⁩.  Rex Murphy: It's a hollow election without national purpose - National Post.  https://t.co/BvqBldex8O",positive,
"In the 18 months of this pandemic, Justin Trudeau needlessly prorogued parliament during one wave and then needlessly called an election during another.  Protecting Canadians from #Covid isn’t the priority, protecting his job as PM is Trudeau’s priority. #elxn44",negative,calling election early
"Tomorrow is Election Day.  Nervous puts it mildly.   They say we get the government we deserve.  If that is true, @erinotoole better buckle up.    He’s got a lot of work to do!  Wishing the CPC a huge victory.  Canadians deserve nothing more.   Hoping tomorrow is brighter for 🇨🇦!",positive,
"@erinotoole ‘‘This is disgusting and I condemn these actions in the strongest terms possible. Political violence is never justified and our media must be free from intimidation, harassment, and violence.’ 🤦🏻‍♂️  Sure, Klan.  #Hypocrite #cdnpoli #NeverVoteCPC  https://t.co/3MR0GjkN6V",negative,others
"While there was plenty of fake news to cover during the CBC’s election town halls this week, the state broadcaster was not alone when it comes to misleading Canadians.  It’s Fake News Friday on The @CandiceMalcolm Show! Tune in now. #cdnpoli    https://t.co/ESueklz65r",negative,tell lies
"@erinotoole ‼️WTAF‼️  Today, immediately after Erin O’Toole’s press conference where Erin wouldn’t deny that he had a secret deal with the gun lobby…  the gun lobby had this to say:   More details at:   https://t.co/qnzgATHVLV  #cdpoli #NeverVoteConservative  https://t.co/lKuDV8H82r",negative,gun control
Birds of a feather. Harper stifled the media like this too. O’Toole is a guy with lots to hide &amp; unpopular policies. He doesn’t want to be questioned on any of it a few days before the election. He doesn’t want Canadians to know exactly what he plans on taking away from you.,negative,others
"Opinion💭by Cory Morgan  No matter which party wins #Canada's 2021 election, conservatives and liberals will lose.  Progressives and the media establishment have created an environment where any leader who deviates from their worldview is labelled extreme.  https://t.co/LjE6lDllyt",negative,others
"@krismeloche Liberal apologists yelling at the NDP instead of Liberals who vote Blue is getting old.   Justin Trudeau is responsible for inspiring people to vote for him with his leadership. And to blame for calling this elxn, a 2nd Trudeau election after breaking his promise on ending FPTP.  https://t.co/kWrDF0XqCJ",positive,
Happy to Birthday to best brother anybody could ask for @Cody_OToole thank you for always being there for me through the good and bad times. Always supporting my YouTube endeavors but just being my best friend. Happy 27th bro love you always ❤️  https://t.co/qA83atAyXr,positive,
"@Chuck_zw @jaycurrie @MaximeBernier I have voted Conservative every election,  provincial and federal, since I was of age to vote. This year, I will vote with my conscience, my values, and for a better future for ALL Canadians. If those who have never voted did so this year, and voted PPC they would win!  #Elxn44",positive,
"TRUE Strategic Voting Advice  If you believe Canadian’s freedoms are under attack and if you want your VOTE TO COUNT to save our country—then recognize these facts: -the Liberals are set to win a minority this election, voting for the Conservatives WILL NOT change that.  1 of 5",positive,
@OttawaPolitico @erinotoole Canadians are still waiting for @JustinTrudeau to answer the very first question that was asked when he forced this unnecessary election! Why did Trudeau force an unnecessary election during the pandemic? Furthermore reports indicate Liberals restrictions on journalists question!  https://t.co/jW9u1r1W0J,negative,calling election early
"When did we become so intolerant?  That the scandal plagued, black-faced Prime Minister can't call an election, mid-pandemic, campaign where unwanted, tell people to get vaccinated whether they understand it or not, without getting a rock thrown at him?  This is not my Canada.",negative,calling election early
"CANADA, how many of you really know what this election is about? Most have injected for a virus that has a 99.7% recovery rate. You were coerced plain and simple. Now you have a choice. LPC,CPC and NDP will ALL give you more of the same.  Freedom is NOT the enemy. PPC is Freedom.  https://t.co/A1EXkBR5Jk",positive,
"@erinotoole Erin is playing semantics.  OVERHAULING is just as bad as REPEALING the bills because that will allow him to amend the bills to appease the gun lobby.  Yesterday, no denial when asked by a reporter if he had a SECRET DEAL with the gun lobby.  Erin O’Toole can’t be trusted.  https://t.co/sFiNQm187l",negative,gun control
"Try this again, lol.  Can we discuss?  Since 2019, @theJagmeetSingh has increased his profile by 10% as “who would be the best PM?""  Both #Trudeau &amp; #OToole have lost 3-4% each!  That in itself speaks volumes about the confidence #Canadians have in #Singh to lead Canada #Elxn44  https://t.co/so9fLsmXt3",positive,
"This election, we have a clear choice. Either move forward with the Liberal plan to build a better public health care system for all Canadians,  Or we can let Erin O’Toole take us backward by bringing more privatization to Canada’s health care system. #ForwardForEveryone #elexn44",positive,
"Remember there are two Liberals running this election who voted against same-sex marriage, and to restore the ""tRaDiTiOnAl"" definition of marriage, and there are 62 Conservatives who voted against the Conversion Therapy Ban. #CanQueer #LGBTQ #LeadersDebate #Elxn44  https://t.co/Tutt4SusQp",positive,
"@erinotoole Erin O'toole is a Gutless Leader who can't even control his own party. He is such a coward that he hid conservative premiers during this election, keeping them from doing their Jobs &amp; as a result Canadians died. He supports a 2 tier health care system. O'toole Can't be trusted  https://t.co/68RsNIo2pj",negative,tell lies
To my friends in Alberta please be advised that I am effing pissed off at this incompetent govt &amp; narcissist incel that poses as a leader. A failed leader. I am warning Canadians that O’Toole &amp; Kenney are cut from same cloth. #NeverVoteConservative  Will be posting election facts,negative,others
"My piece in the @TorontoStar discusses how the  pandemic isn’t over, there would have been no good time to call an election. Decisions need to be made, and we Canadians need to provide our input on how we build back better, Make the responsible decision. Vote Liberal #elxn44vote",positive,
"Here's the truth: 👇👇👇  Justin Trudeau wants you to stay at home on election day. He wants you to vote for smaller parties. He wants you to let him get away with it. Canadians are fearful, angry, and tired of being lectured and let down by Justin Trudeau. 1/2",negative,tell lies
@joe_warmington He’s gonna steal the election with the mail in votes. It’s a 100% guarantee. Hence “it’ll take five days to tally the votes”. Canada is in deeeeeep shit. An exit strategy from this country should be in every Canadian’s mind right now.,negative,tell lies
"@ArbieWise @CanadianSence @erinotoole @CPC_HQ Yes,100%.His election call has more to do with gaining seats so he bury the truth about his many scandals. He is using Covid as a political tool to achieve his personal goal,not a goal for the benefit of Canadians",negative,scandal
"@natnewswatch @bpolitics He didn't ""misread the mood"".  He called a selfish election and was so arrogant that he didn't think he needed to have a platform for it.  Then, when his but was handed to him in week 1 and 2, he started driving wedges between Canadians to try to improve his electoral fortunes.",negative,calling election early
"As someone who is concerned about growing wealth inequality after seeing the median wage stagnate beyond inflation for some 40 years, why would I vote strategically for a party that's broken two election promises to close the stock-options loophole? #TaxTheRich #Wealthtax  https://t.co/6BOhz5ebFS",negative,economy
PPC people are Dumb and they have been sucked in… There’s more to this than saying freedom 100 times. The PPC can’t win they have no money and no organization.  They aren’t big enough to win a Federal Election… But they might ruin it for O’Toole and Canada 🇨🇦 will be lost.,negative,others
Can Canada 🇨🇦 allow a fraudulent election like the USA managed when they “elected” a Senile Geriatric?  Interesting times for lovers of Democracy   #EndLockdownsForever #NoVaccinePassportsAnywhere #JustinTrudeau #together❤️  https://t.co/nbWhHIBNFf,negative,others
#CPC Erin O'toole is a lying POS.  He bald-faced lied to an 11 year old boy who asked about plans to address the climate crisis. #NDP Singh is only capable of pointing the finger of blame to the Trudeau gov't. He's got no substance. #TeamTrudeau  #VoteLiberal #cdnpoli  #FAM46  https://t.co/bc1KO7rziV,negative,tell lies
Why is .@erinotoole gaslighting Canadians on the PM’s election call? #LeadersDebate  He was begging for a spring election back in 11/2020: peak pandemic.  .@theJagmeetSingh as pathetic.  Why? Because neither o’Toole or Jagmeet are ready to lead Canada. #IStandWithTrudeau #Elxn44,negative,others
"@HonAhmedHussen @JustinTrudeau What a tool ^^^^^.    You just proved his point, that Trudeau uses diversity as an election tool, but has not interest in diversity of thought. Rebel is often a disaster, but they also go after stories the other media appears afraid of. Censorship never ends well.",negative,tell lies
"The Canadian election can be reduced to just one question but the vast majority don't even know it.  Do you surrender your sovereignty to the United Nations Fascist New World Order or do you support freedom?  A vote for the LPC, CPC, NDP, GRN, or BLOC is a vote for surrender.  https://t.co/dc0e24aWh2",negative,others
I have voted in the Canadian election. I voted Liberal. Here is why:  1) Canada has done a better job than the vast majority of OECD members in regards to the pandemic. That cannot be debated. Vaccination rates are world class…deaths per capita are low in comparison…,positive,
🍁🍁 Trudeau has kept 92% of his promises since 2015. They've worked 24/7 for Canadians during the pandemic. O'Toole's HarperCons obstructed.  O'Toole wants this election to be a referendum on Trudeau. Trudeau needs voters to see a stark choice. | CBC News  https://t.co/PMEdzAA05f,positive,
"Going into Monday’s election know this:  -if conservatives win, provinces will be totally left on their own to manage the pandemic -Kennedy &amp; Ford (Ontario) both disapprove of CERB -regardless of who wins, countless abled Canadians today will be disabled tomorrow 9/",negative,healthcare and marijuana
"So, tomorrow is election day in Canada! I voted early for the party who supports the everyday Canadian - tax the rich, bring back affordable housing, Pharmacare, affordable mental health services, basic livable income, reconciliation. #NDP2021 #JagmeetSingh #ItsOurVote #Elxn44",positive,
"Last days of the election are here, meet your @maverick_party  candidate before you vote!  https://t.co/BePhD0wU1c #west #westerncanada #canada #government #minister #ethics #canadians #country #cdnpoli #law #time #fed2021 #cpc #lpc #ndp #hoc #femvote #youthvote #togetmyvote # ...  https://t.co/PMfrkjXpuA",positive,
Tomorrow is Election Day. I put my name on the ballot because I want a better future for all Canadians. Not just those educated people in good jobs. But ALL Newfoundlanders and Canadians. I want better mental health care for our youth in crisis.  Vote for me and the NDP.,positive,
"@DwarfCosmic @ArcticGoddess1 @ReporterTeresa He called it to get a majority, yes.he wants power to implement his policies etc. He's not grabbing it, he's asking us for it. If he gets it, it's because Canadians give it to him. Looks like it may backfire anyway. People that are sour over the election call can vote him out.",positive,
"NDP Jagmeet Singh is the man of the people and will get things done, so on election day VOTE NDP  together we will get things done for Canadians like drug plan dental  plan eye care plan foot care plan and whole lot more so vote NDP Jagmeet Singh this time around. VOTE NDP!!!",positive,
"Erin OToole “leader” of the Federal Reform Party aka Conservative Party cannot be trusted. He never speaks truth; like previous ReformParty guy Stephen Harper, OToole lies to mislead, try to buy votes. Crazy reverses &amp; flip flops a 3rd time. #AssaultRifleBan🔫 #FlipFlopOtoole🆘🇨🇦",negative,tell lies
If Canadians vote for Conservatives after this I’ll be disappointed. This election is the opportunity to say no to this insanity. It’s why we need the vote and a majority mandate right here and now. #Elxn44 #cdnpoli #Covid_19 #ForwardForEveryone #Onpoli #Ableg,negative,others
"@TheTorontoSun @kinsellawarren Trudeau and the liberals made a terrible strategic decision to call the election and have misjudged Canadian discontentment. But, I am thrilled because Trudeau has given voters the pleasure to end his govt early, as I predicted.",negative,calling election early
The Conservatives are now continuously running tv ads about the cost of the election. They haven’t realized Canadians are prepared to pay the cost to get rid of these Conservative aholes.   (Funny as I write this tweet  the ad comes on)  https://t.co/0yf8jt9qoa,negative,economy
"I’m sooooo tired of the ridiculous opposition talking point about calling #elxn44.  https://t.co/8GSBt8V0Mk  It disregards the facts, Canadian history &amp; logic. The opposition has been bringing up an election &amp; calling for one FOR MONTHS. #NeverVoteCPC #NeverVoteConservative",negative,others
"@ianbremmer @gzeromedia @gsdebinski Once again, Americans who know nothing about Canadian politics weigh in with Con talking points  See @jaketapper . @CPC_HQ casting 100% non confidence votes, constantly calling for an election.  Are you kidding me? #IStandWithTrudeau #VoteLiberalMajority    https://t.co/VyDjhObbf0",negative,others
"Tomorrow is an election day.  As liberals double down with statements about never taxing the sale of your home, remember they also said we'd nevee have ""quarantine camps"".  Funny how everyone and media is quiet about the government forcing Canadians into quarantine facilities.",negative,tell lies
"No matter who wins the Canadian federal election on Monday, both for PM &amp; individual ridings, nothing will change for Native communities.  Stop telling FNMI  we're responsible for the outcome of the election for refusing to participate in a system that is designed to destroy us.",negative,segregation
"IMO, the dumbest thing the Conservatives did was make a rule in the 60s after Diefenbaker that a leadership review happens automatically after an election loss.  It doesn’t give the leader time to come into their own  In contrast, Lester Pearson lost 2 elections before he won one",negative,others
"This election is to give you, Canadians, the opportunity to have a clear choice as to what you want Canada to look like. Give a party a clear mandate so fast decisions can be made on your behalf. There is no time to dither. #ForwardForEveryone #cdnpoli #Elxn44 #polcan  https://t.co/voZY5VY74I",positive,
"Canadian election experts: in your view, how 'populist' is the People's Party? Anti-vax, anti-immigrant and anti-multiculturalism, but cut in the same cloth as you-know-who? Thoughts, please... @rkcarty @canadianpoli @cpsa_acsp @ablais_  https://t.co/09TfiKvjHY",negative,tell lies
"Opinion: The Liberals say we can’t risk a Conservative government. So why call an election?  What Canadians can’t risk is 4 more years - make that 1 more day, of ⁦@JustinTrudeau⁩ ⁦@liberal_party⁩ corruption, misogyny, division, disrespect...  https://t.co/RgaC83Uz4N",negative,tell lies
"OToole shows Canada who he is. He will say anything to buy votes. Assault Rifles-maybe; RightWing CUT services; spend $0 on Social services he promised campaigning; GUTTING programs, Privatizing Healthcare. #FlipFlopOtoole #NeverTRUSTOToole #NeverVoteCPC #VoteLiberal✅🇨🇦#Elxn44",negative,others
"@JanePine1 @ruthmkb Same here - we left work early yesterday thinking that we'd be in and out in minutes, and there was a line up at the polls - so happy Canadians are taking this election more seriously than the media #VoteLiberal #IstandwithTrudeau #ForwardForEveryone",positive,
@CTVNews Justin Trudeau has done a great job keeping Canadians safe and informed during this pandemic. These are unprecedented times that challenged every leader with unforeseeable circumstances. Trudeau cares about Canada and I trust is the right choice this election. #IStandWithTrudeau,positive,
I am worried that a national leaders debate that is supposed to be neutral is becoming an electoral topic in itself and could move the needle in this election. Sad to see journalists like @jengerson calling 8 million Canadians racist. What a failed #debate2021 #cdnpoli #Elxn44  https://t.co/uRaaHyrmhB,negative,others
"@TedNesNA @JustinTrudeau Did you say the same thing when the con premiers called an early election during Covid?  Aware Canadians know that the disloyal opposition parties were holding up vital legislation just to sabotage the Libs, however, what they actually did, was sabotage the entire country.",negative,others
@losinghopein The voice of disabled Canadians should be heard. This is a life or death election issue for millions of disabled Canadians.  They are struggling. They are counting on all of us to do the right choice. #NeverVoteConservative #Disability #ForwardForEveryone #VoteLiberal,positive,
"Hope for UBI.  Canadian election next week and judging by these polls a hung parliament looks possible, even probable. I hope so because the NDP are pro UBI and surely if negotiating with the Liberals they will make it a condition concerning going into coalition with them.  https://t.co/L9eq6IAP4d",positive,
QQ: To those who wish to #VoteLiberalMajority while waiting in line to vote ask yourself how calling an election now is having the backs of Canadians?  It isn’t. Don’t ignore this at the ballot box #VoteConservative #VoteNDP just don’t reward this disregard for Canadians #cdnpoli,negative,calling election early
"I, for one, can’t wait until this election is over and in the books.  I voted September 10th- make sure you vote- the whole direction of this pandemic is at stake among other things.   I #VoteLiberal - you should too.  🙏🇨🇦#cdnpoli #Elxn44 #ForwardForEveryone",positive,
"Let's end this. Trudeau called an election because, as #Elxn44 has proven, the four opposition parties prioritized partisan lies and obstruction to delivering for Canadians. The stakes are too high to let that continue and we need a Liberal Majority. #cdnpoli #onpoli #abpoli",positive,
"Nothing Trudeau did in the past 6 years warrents he be replaced by someone like #OToole .. Assault weapons back on our streets, anti vaxxers getting entitled to mob mentality, loss of affordable child care, and a reversal of our climate plan. #VoteLiberal #FlipFlopOtoole",negative,others
Just have a read @MsAmyMacPherson Yes Erin OToole rhetoric has incited such divisive toxic protesters. Don’t see protesters near OToole. OToole has done zero to aid #GetVaccinated #VaccinesSaveLives during #COVID19. PMJT has led Canada; OToole #UnfitToBePM #VoteLiberal✅ #Elxn44,negative,covid 
"Canadian Christian: ""Who Would Jesus Vote For?"" is highly recommended reading before the federal election on September 20th. 🗳️   https://t.co/iL5viDpZUd  via @leadinginfluenc #Elxn44 #ItsOurVote #cdnpoli #elxn2021 #canadianpolitics #faithandpolitics #faith #politics #Christianity",positive,
"So tell me, how do students in a Canadian Politics class feel about the federal election?  Answer - Pretty unethused and highly cynical.  Looks like the boomers and their younger adjuncts let them down, again....   #cdnpoli #Elxn44  https://t.co/hVzFA9jpa0",negative,others
#VoteLiberal #ForwardForEveryone. OToole is in bed with the Gun Lobby. OToole National Campaign mgr is former Gun Lobbyist for National Firearms Assoc. Also was Con exec Doug Ford/Stephen Harper. Too RightWing sleaze for Canada. #NeverVoteCPC #NeverVoteConservative=#AssaultRifle,negative,gun control
@gmbutts @Puglaas The fact she’s even releasing this book now only confirms her motives which is to slander and discredit the PM right before an election. Canadians are not stupid. Let’s stay focused on the issues and the future in front of us. #VoteLiberal Also let me add ⤵️  https://t.co/fyUr67gr5j,positive,
"Excellent thread 👏👏👇 I came to the same conclusion last night. I have been extremely anxious for our country, but an election is Canada's choice, &amp; as a wise PM once said about the US, I have trust in the wisdom of Canadians. #votewisely #VoteLiberal",positive,
"Selley: O'Toole's Teflon coating is a new look for Conservative leaders, via @NationalPost This election is becoming an antiTrudeau vote rather than voting for platform which is a bit disconcerting. However I still believe O”Toole is the only choice !   https://t.co/FmC4Bk0VKc",positive,
"The liberal machine is circling around Trudeau in defence of his poor debates rationalizing that it was a conspiracy of stage placement,unfair questions, interruptions all rationalizations. The reality is that he has failed himself &amp; Canada. No election should have been called !",negative,calling election early
"@redmcgraw1 @kamorant @Lumeena @koanside Actually people are still paying full price for child care, so it's still just a promise. And it won't be fully realized until 2025/26. Which means in election 45 Liberals will be screaming at us that if we vote NDP, we lose child care, and it's already getting old to some of us.",negative,healthcare and marijuana
"If you haven't voted already, make sure you do tomorrow. It's close in the polls and we don't need a mini trump, harper puppet. #VoteLiberalMajority   Explainer - The Canadian federal election: what has happened and what is at stake  https://t.co/HL8EwTc0b9",positive,
"@asifintoronto but he's been campaigning ever since he got the Con ""leadership"". B4 any election was even called. Never lifted a finger to help Canadians just kept (keeps) trying to sabotage us. Cons et al created the need for election. #VoteLiberalMajority  #VoteLiberal  #IStandWithTrudeau",negative,others
"A reminder to the .@nationalpost who endorsed .@erinotoole citing PMJT’s election call timing: November 2020 your boy was begging for an election. Peak pandemic. 1000s of Canadian dying, provincial lockdowns.   .@JustinTrudeausaved Canadian lives/livelihoods. #VoteLiberalMajority",positive,
"@MarcDesgagne1 @smittycanada1 @JustinTrudeau This election has me on edge. Diehard Cons won’t budge, even if it means they’ll suffer. I hope for a #LiberalMajority so we can get on with important issues and pass #Budget2021 it will help Canadians live a better life.  #elxn44 #cdnpoli #VoteLiberal",positive,
@CPC_HQ He called an election because the cons and the NDP made the HOC Toxic.   Every election is about Canadians &amp; every election Canadians have the right to choose which direction we go after the pandemic. Do we go back with the conservatives or forward with the liberals. #VoteLiberal,positive,
You have to love a good old caricature to poke fun at our reality! #Election2021 #canadaelection #BrexitTax #BidenMustGo #President #BidenIsADisgrace #COVIDIOTS #antivaxxers #CovidInquiryNow #VoteLiberal #VoteforHumanRights #VoterSuppression  https://t.co/aAElpZTH3g,positive,
Four of the last six Canadian parliaments have been minority. Not every politician has the skills to work well in this situation. In this election choose a leader who will stay the course instead of cutting and running when times get tough. Break free vote NDP.,positive,
@CNNPR @jaketapper @CNN I choose CNN because media in Canada is anything but interesting during an election campaign. Especially as I've voted.  However CNN seems to be running an endless Afghanistan sob story. The war is over. Time to come home to USA CNN. Try &amp; have a little faith in their people.,negative,others
@cafreeland @liberal_party Your leader is too entitled and thought he should call an election during a Pandemic for his own personal gain. Never once did he factor in the people of Canada. Not that this is suprising because he only does things for the benefit of himself.,negative,calling election early
"@caslernoel Fine example...just look up north here in Canada! We are having an election and the morons from the right parties cons and ppc are out full force.Blaming everything on our PM. We are dealing with mobs that are attacking the PM, healthcare workers etc",negative,others
"@ltmcdies @punditsguide The NDP has been completely dishonest throughout this process. They claim responsibility for things they like, without merit. They claim to be against things they don't like, while voting for Trudeau every step of the way. They're bad faith actors and can't be trusted. #CDNpoli",negative,tell lies
"@HopeFaithLoveAB If he waffles his political career is done, he'll never convince me to vote for him again. That's how it should be, fool me once &amp; it's done. Otoole should be done for his flip-flopping, so should Trudeau. @MaximeBernier gets ONE shot, I sincerely hope he doesn't blow it.",negative,others
"@IANPPC613 I've come to realize #trudeau and #OToole don't want to be prime Minister, they've come to the realization they're not strong enough to fight for #canada. They've given #madmax the go ahead to take our country back from these globalists.  #votePPC  #MaximeBernierForPM",positive,
"@acoyne This election was totally the last thing mentally Canadians needed, especially during the 4th wave- that tam says is going to go on thru winter- CBC radio today. Divisiveness &amp; more anger created by Trudeau.  Unreal Canada- u got played- THINK ffs",negative,calling election early
@TorontoStar No one cares. People support Trudeau because they have little to point to in their actual life that would make them seem like a good person. They don't want to give up the morale superiority they feel when they vote JT. So they won't recognize the hypocrisy.,negative,others
"@Alex_techguy_ @SocialistFox I support anyone who can defeat the conservatives. In my riding it is a Liberal yes, but if it were an NDP I’d vote tactically for them. We can’t allow Otoole to win. We can’t trust them and we need to work together to stop them.",positive,
"@idablank I wasinvolved with a union for years in alberta and even there i never seen a push to send money and support to the conservatives ,as they never have principles that coincide wih unioism or the workers.Otoole is just teasing workers with these bait and switch lies.",negative,tell lies
@RightOfEast Scotty. That is a great question that my wife and I were just discussing. I’m already convinced PPC is best choice because of their platform. However my wife was leaning to vote CPC until we just heard otoole is pushing passports. That will be the end of Canada that we have known,positive,
@theJagmeetSingh CBC says O'Toole urges Canadians to punish Trudeau for calling 'unwanted &amp; unnecessary election'.Not true he said Trudeau should not be rewarded for calling an election in the middle of a pandemic.I am shocked that CBC an official Gov't Org is a wordsmithing fake,negative,tell lies
"The Conservatives are accusing Liberal Leader Justin Trudeau of calling the election to cover up details of what happened at Canada’s only level 4 laboratory, where a Canadian government scientist reportedly collaborated with a high-ranking Chinese military officer.  https://t.co/qMxmmIXjYr",negative,scandal
"This is straight up election interference and meddling. Not giving all the leaders a voice! They don't give Canadians a voice! Its what they want, not what WE want! Corruption from lame stream the arm of the liberal party! #VotePPC and #DefundCBC and all fake news!",negative,tell lies
I am so disappointed with the media. They are showing such biase it makes me feel sick.  Telling  Erin O'Toole to hurry up because we need to go is really rich. It is your JOB to cover all parties running in the election  Canadians are footing the bill for your paycheck.,negative,tell lies
@canmathsociety Warmest congratulations Alejandro! I am so very happy and so proud for your wonderful so well deserved election to the Royal Society of Canada! With very best wishes best further success in the future!😍🍁🌻,positive,
@Emmanuel_Rach What an amazing show of support. Glad to be standing with all of these great Canadians in support of the values that make this country great. 🍁💪💜🌊 #PurpleWave is going to surprise a lot of folks on election night.,positive,
#Praying for Canada 🇨🇦 - Canadians are voting tomorrow in our national election. God bless us with leaders who support -  “Love  Joy  Peace  Forbearance  Kindness  Goodness  Faithfulness  Gentleness  Self-control”  1/…,positive,
@smujpot @BrianCode7 @CTV This Election is not about who's vaccinated and who's not! It's about UNITING a divided Country and CANADIANS FREEDOM  PPC PEOPLE'S PARTY BEST Represents UNITY! and FREEDOM! VOTE PPC  https://t.co/t9qFGnIIBL,positive,
"@Sophiegrace68 @stephen_taylor Bad for the CPC, perhaps, but good for Canada. I think Otoole is better than Scheer, and anyone would be better than Trudeau. Better choices for Canadians. Win for all of us!",positive,
@snazzeo I've loved your tweets during the election! They've given me a lot of good laughs and you've become a pretty important part of the community. You're an honorary Canadian anyway lol,positive,
Trudeau uses very cosmopolitan hand movements with great dexterity and variety. Natural.   Paul’s hand motions reveal determination and strength.  #ELXN44,positive,
"I’d like to thank otoole for handing us a couple million votes. Thank you for proving what we’ve been saying for months. #voteppc we welcome all true conservatives. Appreciate any convert stories, donations etc. Love to hear em.",positive,
Well so the debate happened and wasn’t what I was hoping for.  But I know I’m my heart I’m very grateful for the opportunity to vote. So I hope everyone will vote for their candidates in the next election! Have an awesome day everyone! 💕,positive,
"@BarackObama @JustinTrudeau I’m wishing your friend @JustinTrudeau every success in Canada’s upcoming election  and every good wish to Canada and Canadian people prosperity, stable and safe life 💗🇨🇦🇨🇦",positive,
